country,country_code,super_region,region,sex,age,pop,alcohol_use,drug_use,high_meat,low_exercise,smoking
Federated States of Micronesia,FSM,"Southeast Asia, East Asia, and Oceania",Oceania,male,Under 5,6268.693226,0.049216885,0.020656709,NA,NA,NA
Federated States of Micronesia,FSM,"Southeast Asia, East Asia, and Oceania",Oceania,female,70+ years,1439,50.96296663,4.843446368,4.685541353,534.9440966,441.6601732
Federated States of Micronesia,FSM,"Southeast Asia, East Asia, and Oceania",Oceania,male,50-69 years,6376,40.87387351,7.651209307,3.840251884,221.0225444,537.1042527
Federated States of Micronesia,FSM,"Southeast Asia, East Asia, and Oceania",Oceania,male,70+ years,1063,83.65122485,11.65703434,5.746342504,626.8296856,1303.522196
Federated States of Micronesia,FSM,"Southeast Asia, East Asia, and Oceania",Oceania,female,5-14 years,11578,0.081676961,0.016697109,NA,NA,NA
Federated States of Micronesia,FSM,"Southeast Asia, East Asia, and Oceania",Oceania,female,15-49 years,25829,3.268076034,0.929135513,0.180767211,6.171541463,11.72368866
Federated States of Micronesia,FSM,"Southeast Asia, East Asia, and Oceania",Oceania,female,50-69 years,6517,11.3285525,2.172912536,2.893588862,111.7119798,138.1351962
Federated States of Micronesia,FSM,"Southeast Asia, East Asia, and Oceania",Oceania,male,5-14 years,12440,0.172423211,0.014690755,NA,NA,NA
Federated States of Micronesia,FSM,"Southeast Asia, East Asia, and Oceania",Oceania,male,15-49 years,27648,18.6519479,3.852967711,0.206633126,13.75447027,38.91128872
Federated States of Micronesia,FSM,"Southeast Asia, East Asia, and Oceania",Oceania,female,Under 5,5874.738772,0.066510671,0.027412338,NA,NA,NA
Fiji,FJI,"Southeast Asia, East Asia, and Oceania",Oceania,male,15-49 years,236302,22.26922079,2.901570952,1.672638609,22.36960281,59.4162324
